Points:0,Points:1,Points:2,U:0,U:1,U:2
1.542704,4.872763,0.025,0.493327,0.286443,-3.425210000000001e-17
6.158884,2.872626,0.025,0.593716,0.394496,2.00476e-18
4.77231,5.611929,0.025,0.580764,-1.05953,5.684710000000001e-18
9.936551,5.076203,0.025,0.0208072,-0.728612,1.2537100000000001e-17
2.514262,1.83962,0.025,1.71307,0.436687,-1.75941e-17
1.934984,5.539391,0.025,-0.0113215,0.486757,-7.581020000000001e-17
9.008179,2.132735,0.025,-0.421969,0.113859,-1.62657e-18
4.053959,3.803213,0.025,-1.1111,0.881122,9.306240000000001e-18
8.918318,3.664689,0.025,-0.700594,-0.028971,-1.53368e-17
1.994378,5.260593,0.025,0.252068,0.850648,-2.4821200000000002e-17
0.4617311,4.965591,0.025,0.30691,-0.362463,3.04899e-17
6.675378,5.601353,0.025,-0.600396,-0.127045,1.41858e-17
6.766189,0.2121071,0.025,-2.69737,-1.89019,1.66095e-19
7.527977,2.672852,0.025,1.18755,-2.9307,-1.25276e-18
6.713666,0.734496,0.025,-1.82985,-1.68257,5.636729999999999e-19
7.272393,0.06209537,0.025,-0.224833,-0.279469,5.37698e-17
9.458418,0.1423072,0.025,1.18778,0.406259,3.1258e-18
9.605263,2.32211,0.025,-0.619263,0.868208,3.47275e-18
7.355653,3.404114,0.025,0.63661,0.50597,8.708670000000001e-18
2.820051,0.1263824,0.025,-0.893135,-0.0167397,6.02581e-17
9.204826,4.69596,0.025,-0.0442531,-0.311537,-1.4158900000000006e-17
0.8198333,2.437219,0.025,-0.92781,0.0369641,-3.58404e-18
7.760775,4.756872,0.025,0.0980928,1.26884,4.47682e-18
0.155066,3.174189,0.025,-0.203201,0.233041,9.364790000000001e-18
3.55727,0.6343489,0.025,-0.163727,-0.151792,3.1559100000000004e-18
7.88831,0.7306785,0.025,-0.183067,-0.830085,-1.3919400000000002e-18
1.653951,3.486905,0.025,-0.155686,-0.855012,7.44476e-18
9.062203,0.9412114,0.025,0.221932,0.140128,4.65037e-18
8.363917,3.753487,0.025,-0.578252,0.076605,-5.663510000000001e-18
5.763644,3.704708,0.025,3.92366,-0.81891,-6.455850000000001e-19
8.511297,2.91834,0.025,-0.943761,-0.0745623,-2.5858300000000007e-17
8.233939,3.515549,0.025,-0.362886,0.00971632,1.6665500000000002e-18
9.597087,4.66705,0.025,-0.0429895,-0.639767,-1.6327600000000002e-17
4.444458,0.3503096,0.025,-0.26402,-0.143228,7.87261e-18
2.101286,4.425651,0.025,-0.190271,1.73052,-9.99188e-18
1.285398,5.929468,0.025,-1.26126,0.00884616,-8.441430000000001e-18
2.373045,4.770024,0.025,-0.469874,0.350063,-1.53552e-17
6.187152,5.683702,0.025,-0.535302,-0.321802,-1.86506e-17
4.903963,5.446006,0.025,0.160595,-1.32361,-6.94212e-18
0.6078744,1.06724,0.025,1.29138,0.0209665,-3.62688e-18
5.740596,2.253313,0.025,0.798909,2.19537,2.5292400000000006e-17
8.602952,1.802494,0.025,-0.232086,-0.248929,4.6369500000000006e-18
8.299696,2.822246,0.025,-0.865719,-0.259123,-3.68712e-17
1.56985,5.07488,0.025,0.241059,0.343109,5.106830000000001e-17
6.155434,5.873066,0.025,-0.447175,-0.211336,6.47105e-17
6.630609,3.579401,0.025,2.30011,-1.37343,-8.400710000000001e-19
6.980187,2.027463,0.025,0.8409,-2.22217,1.20559e-17
4.825605,0.256301,0.025,-0.166108,-0.233093,-8.08217e-17
6.612139,5.709977,0.025,-0.673433,-0.132673,-7.791900000000001e-18
4.847336,3.969178,0.025,3.11256,0.0912252,6.16665e-18
8.450805,5.188922,0.025,0.279911,0.458685,4.4870700000000006e-18
6.900222,4.301105,0.025,0.297871,-0.0869685,-1.7979000000000006e-17
7.112099,3.525962,0.025,0.738922,-0.485906,-1.9359600000000006e-17
3.82673,2.59159,0.025,1.79057,2.53754,1.84505e-18
0.8404872,2.028043,0.025,0.132235,0.34928,2.07524e-17
5.15223,3.382613,0.025,0.0090722,0.131448,1.5751300000000002e-18
3.840086,4.890529,0.025,-0.881664,0.0264036,-7.970450000000001e-19
5.747836,1.384775,0.025,-0.106945,2.53745,-1.2918900000000001e-18
2.933722,3.409271,0.025,0.166689,0.167268,2.2677900000000002e-17
9.843957,2.649553,0.025,-0.120172,-0.0231069,3.3875100000000004e-18
3.125586,5.031191,0.025,-0.366395,0.31816,-2.52335e-18
7.271626,5.600763,0.025,-0.529284,0.193947,1.45283e-17
5.989454,3.059345,0.025,-0.659098,0.24197,1.2781600000000001e-18
7.632602,2.73568,0.025,0.439446,-0.92096,1.1903300000000001e-18
7.43528,0.6236438,0.025,-0.999025,-2.23107,-5.0237900000000004e-18
4.559649,5.794918,0.025,1.11698,-0.539185,-3.4822099999999995e-20
9.252288,2.304916,0.025,-0.554821,0.380227,-8.23942e-18
6.926533,0.9501131,0.025,-1.46474,-2.31763,7.383480000000001e-18
4.474784,3.146727,0.025,1.42357,3.95436,2.14932e-20
7.659817,3.623994,0.025,-0.33985,0.00853531,2.7628500000000003e-18
4.348767,5.152094,0.025,-0.277026,-0.386293,-2.25001e-18
5.906439,4.65334,0.025,0.0606189,-0.548941,2.36421e-17
9.928613,1.756041,0.025,-0.0714417,1.55622,-6.62845e-18
7.569696,5.028453,0.025,-0.299857,0.733211,-6.120170000000001e-18
9.061945,2.633995,0.025,-0.853708,0.205536,-2.3905300000000002e-17
8.340828,4.340254,0.025,-0.169808,0.214116,-1.9631500000000002e-17
6.019014,0.8272446,0.025,-0.850751,0.964144,-2.32612e-17
6.607233,0.7650558,0.025,-1.67155,-1.28529,1.05148e-17
4.719061,5.673234,0.025,0.752181,-0.928206,-1.7368700000000002e-17
2.763727,5.213659,0.025,0.147006,0.45064,4.73232e-19
4.106811,3.833493,0.025,-0.97762,0.861946,4.370350000000001e-17
8.187794,2.816344,0.025,-0.769179,-0.324216,-1.1529500000000003e-17
8.557882,0.1572154,0.025,1.48823,0.0171959,2.82879e-18
6.926517,1.319326,0.025,-0.663376,-2.17495,5.692200000000001e-19
8.709018,0.2949994,0.025,1.12287,0.0407384,2.6477400000000003e-18
1.704103,5.058923,0.025,0.25309,0.49748,5.027240000000001e-17
8.877043,5.323661,0.025,0.506096,0.017196,-7.03533e-18
7.733144,0.6398986,0.025,-0.275218,-1.14267,6.995650000000001e-19
0.5050444,0.8860803,0.025,0.541376,-0.238338,-2.6106500000000002e-17
2.671764,4.358337,0.025,0.7277,-0.11871,1.3470300000000001e-17
2.730547,1.561145,0.025,1.67431,0.375956,3.0546300000000005e-17
0.6059635,1.459837,0.025,1.68272,0.443856,-2.12768e-17
8.043801,4.05061,0.025,-0.339355,0.189173,-9.07523e-18
4.200151,0.397414,0.025,-0.289804,-0.123426,5.58341e-17
3.675336,0.1300729,0.025,-0.671502,-0.0386122,-4.4158500000000004e-17
3.283266,1.28036,0.025,1.01351,0.061234,2.99782e-17
3.795589,1.6596,0.025,1.11533,0.387104,3.9522600000000004e-18
7.353057,1.597844,0.025,-0.239269,-3.39077,8.25409e-18
1.326552,4.748424,0.025,0.745482,0.104724,2.9569e-17
3.659184,1.087987,0.025,0.473312,-0.0776593,-8.07891e-18
0.0293342,0.9993951,0.025,1.48595,-0.125871,-8.6737e-18
3.86596,3.761542,0.025,-1.41394,0.407128,-9.819250000000001e-18
1.209402,0.2232121,0.025,0.122761,1.96841,7.514210000000001e-18
9.223926,2.886498,0.025,-0.754624,0.255925,-1.15327e-17
4.591025,0.01367787,0.025,-0.246744,-0.0122144,8.61134e-16
4.824842,0.6646491,0.025,-0.0295959,-0.372993,-3.24711e-17
2.480857,4.718036,0.025,-0.687155,0.170944,3.64479e-17
1.389854,0.2672431,0.025,0.25,1.90594,-1.2733900000000001e-17
0.08429527,5.615879,0.025,-0.174625,-0.662763,2.2402300000000006e-17
8.498089,5.161476,0.025,0.262847,0.416374,6.24343e-18
0.9223845,0.6146471,0.025,-0.152563,0.488839,-3.29238e-17
2.763834,5.336251,0.025,0.465209,0.480571,9.4001e-18
1.877481,3.302178,0.025,0.394198,-0.658451,-1.8129100000000003e-18
9.629529,4.884486,0.025,0.0491079,-0.651304,9.983850000000001e-18
5.853506,4.145648,0.025,0.335359,-0.339248,-7.01967e-18
6.630135,0.06953346,0.025,-2.73098,-1.78452,1.51037e-19
2.188718,3.874012,0.025,-0.92679,-0.104987,1.1276200000000003e-17
0.7664754,5.941767,0.025,-1.22038,-0.0414725,-3.40671e-17
2.61482,3.275736,0.025,0.779581,0.0577569,-9.108859999999999e-20
2.259173,5.726392,0.025,0.215777,0.472748,3.2863700000000005e-17
7.365318,4.680674,0.025,0.152913,0.326818,3.12557e-18
2.460791,1.652017,0.025,1.70487,0.508409,-9.386410000000001e-18
2.949987,4.924071,0.025,-0.597791,0.359162,-1.2525100000000001e-17
8.360175,1.973554,0.025,-0.262494,-0.474546,8.498969999999999e-19
5.494949,3.931919,0.025,3.91542,-0.0340849,-3.6739500000000004e-18
0.9843356,2.468693,0.025,-0.891711,0.0364931,3.1736100000000005e-17
4.308636,0.5231198,0.025,-0.179604,-0.158991,3.2403600000000005e-17
8.10599,3.888538,0.025,-0.415484,0.157739,-1.16002e-18
2.133764,1.933717,0.025,1.49158,0.538726,1.94101e-17
6.203344,5.004422,0.025,-0.135889,-0.402346,-1.8008500000000003e-18
7.954842,0.960837,0.025,-0.219083,-0.962417,-3.966670000000001e-18
7.979819,2.784579,0.025,-0.552943,-0.316372,2.1912300000000006e-17
9.100004,0.01572475,0.025,1.06965,0.0170701,-7.23899e-18
9.33312,2.729869,0.025,-0.932704,0.542857,1.6768800000000006e-17
8.360194,1.413434,0.025,-0.120778,-0.501102,1.01318e-17
5.697168,2.976688,0.025,-0.931925,0.512745,-5.64008e-18
0.267267,1.773637,0.025,0.221702,-0.385183,3.3167e-17
8.792452,1.038682,0.025,0.134517,-0.0401289,3.19167e-18
1.526941,0.7810824,0.025,0.902601,1.40232,8.20031e-18
7.659225,2.720528,0.025,0.269458,-0.572855,5.5715e-18
9.58095,0.9923136,0.025,0.131412,0.897128,3.9698200000000005e-18
5.564523,5.056048,0.025,-0.0372502,-0.542934,4.713490000000001e-17
3.354551,2.290614,0.025,2.16712,0.419045,1.4640600000000002e-17
3.775253,5.610634,0.025,1.16017,0.318218,-1.2022200000000001e-18
6.457183,4.216746,0.025,0.4276,-0.302957,-1.62096e-17
4.813804,5.986333,0.025,-0.148767,-0.018691,-1.16675e-16
4.281486,0.6328764,0.025,-0.106558,-0.170633,1.59492e-17
7.529089,4.132903,0.025,0.404833,0.983984,2.70849e-18
0.5050595,0.9160772,0.025,0.705952,-0.218499,1.6072999999999998e-19
6.220523,2.712465,0.025,1.58016,0.248126,-7.779569999999999e-19
8.8461,1.601038,0.025,-0.157191,-0.058273,-1.2813300000000001e-17
9.662004,1.196767,0.025,0.0221145,1.08676,5.977600000000001e-19
4.481807,0.0153548,0.025,-0.310797,-0.00886329,1.5599800000000002e-17
7.356056,4.160853,0.025,0.276899,0.407755,-1.66598e-17
7.760372,0.3116573,0.025,0.522441,-0.532243,7.978320000000001e-18
4.661907,0.6644637,0.025,-0.0482424,-0.278702,4.457470000000001e-17
3.709427,2.195864,0.025,1.84211,1.07092,-3.4626600000000003e-17
4.188622,4.526934,0.025,-1.5321,-0.0121854,6.169390000000001e-18
2.790368,5.075685,0.025,-0.194477,0.431491,1.7306e-17
6.499988,4.301288,0.025,0.342755,-0.273024,2.14911e-17
6.659634,5.628608,0.025,-0.620807,-0.130372,-7.36474e-19
9.207825,5.349456,0.025,0.439169,-0.224106,1.57455e-17
0.3208974,0.4183943,0.025,-0.205607,-0.086344,1.0790400000000001e-18
