Points:0,Points:1,Points:2,U:0,U:1,U:2
4.454244,5.672838,0.025,0.874504,-0.410846,1.11235e-19
4.118836,0.5710824,0.025,-0.173443,-0.147404,1.02872e-17
3.709427,2.195864,0.025,1.84211,1.07092,-3.4626600000000003e-17
5.992866,3.264191,0.025,0.694456,-0.48541,5.7576100000000006e-18
3.510663,2.574789,0.025,0.0918984,-0.628545,-4.880510000000001e-17
1.161915,1.565237,0.025,1.37981,0.879971,1.8380600000000002e-17
5.757226,2.978511,0.025,-0.974693,0.509923,2.62695e-18
9.170855,2.320533,0.025,-0.559413,0.290492,-1.3015200000000001e-17
8.007784,2.086673,0.025,-0.149284,-1.00555,5.752710000000001e-18
6.840592,2.696409,0.025,1.36746,-1.45725,8.55317e-19
1.609776,5.381377,0.025,-0.0811039,0.326509,-2.6351500000000006e-17
6.446668,1.87354,0.025,0.555183,-0.255138,-3.66757e-17
8.765651,5.886968,0.025,0.550109,0.0455085,1.99853e-18
0.4189522,1.931907,0.025,0.0926078,-0.238092,-3.88381e-17
8.840495,4.184345,0.025,-0.405385,0.0182573,1.08154e-17
9.53289,4.341124,0.025,-0.212655,-0.523411,7.81121e-19
0.2190637,5.26078,0.025,0.0162427,-0.696268,-2.3612300000000002e-17
0.1120826,5.54204,0.025,-0.151898,-0.768098,-1.41109e-17
8.900002,0.285182,0.025,1.14181,0.0675179,2.6063200000000004e-18
3.128796,5.062136,0.025,-0.286892,0.321533,-1.41801e-17
6.260783,0.318203,0.025,-2.06309,-0.871896,3.0699100000000003e-18
9.847563,1.455994,0.025,-0.041836,1.52511,-9.981580000000001e-18
8.277984,4.998697,0.025,0.168999,0.658243,-1.25024e-17
1.001969,0.2829721,0.025,-0.0983293,1.35791,-8.2601e-18
5.527246,1.908377,0.025,0.0793966,2.77222,8.115750000000001e-18
5.669783,3.347677,0.025,0.453553,0.210472,2.20972e-18
0.5145169,3.573584,0.025,0.173179,0.281465,1.2940200000000001e-17
5.284867,3.676196,0.025,3.82203,0.115171,-2.56035e-19
0.05765531,3.788816,0.025,0.0702011,0.141583,1.00577e-16
1.05365,0.8694777,0.025,0.356977,0.635004,-2.3493600000000006e-17
4.795719,1.953635,0.025,0.0890756,0.147209,7.798900000000001e-17
6.084687,3.31874,0.025,1.58236,-1.05102,2.9234800000000004e-18
4.340895,3.024727,0.025,0.986835,3.59279,1.7257300000000002e-18
1.952002,2.166664,0.025,1.09815,0.415979,-2.1946e-18
6.18018,3.624909,0.025,3.54465,-1.68822,-1.3097500000000001e-18
9.346332,4.776907,0.025,0.0137833,-0.455323,4.5357300000000004e-18
9.83705,3.977639,0.025,-0.223085,-0.446886,3.87425e-17
9.766734,2.635456,0.025,-0.198389,0.151188,-9.26051e-17
6.911988,5.682848,0.025,-0.686879,-0.0104514,1.19008e-17
7.113157,1.920307,0.025,0.585708,-2.62358,-3.85194e-18
