Points:0,Points:1,Points:2,U:0,U:1,U:2
0.8109897,3.599524,0.025,0.259414,0.0479602,-4.917760000000001e-17
7.899913,2.397453,0.025,-0.183384,-0.795534,-2.37335e-17
4.133239,4.689332,0.025,-1.34274,-0.0848339,4.75353e-18
4.428767,4.890072,0.025,-0.776084,-0.413539,-7.0562e-18
6.130137,3.187519,0.025,0.601393,-0.67422,6.23374e-19
5.811605,3.998025,0.025,1.38671,-0.265048,-2.0972300000000003e-18
4.926525,5.657561,0.025,0.295161,-0.665087,5.031390000000001e-17
0.7028174,4.530332,0.025,0.97918,-0.0236484,2.6908800000000006e-17
8.356087,5.189268,0.025,0.252612,0.557463,-1.7278500000000002e-17
2.778636,4.53584,0.025,-0.218602,0.190797,3.8163300000000004e-17
4.901603,0.2413965,0.025,-0.12441,-0.250298,5.0897e-17
7.544932,4.105987,0.025,0.440347,1.10043,-1.1317e-17
2.303812,0.5047849,0.025,-0.250848,0.189783,-1.78e-17
9.223693,5.376688,0.025,0.447088,-0.223318,-1.3375900000000001e-17
9.444814,0.7568103,0.025,0.344497,0.612587,-1.84238e-18
1.461151,4.611531,0.025,0.912178,0.11511,3.991140000000001e-17
2.552447,4.102577,0.025,-1.71406,0.902488,3.49165e-18
6.746825,4.976275,0.025,-0.139052,-0.157331,-7.63362e-18
2.795258,0.8246901,0.025,0.231112,0.0412751,4.2881500000000006e-18
9.306679,1.364752,0.025,-0.0449424,0.457752,-2.94126e-18
8.685183,1.039838,0.025,0.112834,-0.113047,-9.7526e-18
3.765836,5.213588,0.025,-0.00886299,0.134058,5.907179999999999e-19
9.047014,4.264607,0.025,-0.369441,-0.133075,-3.01472e-18
7.899381,5.10899,0.025,-0.0591551,1.08957,-6.774310000000001e-18
7.811352,4.563128,0.025,0.409122,1.47078,9.287790000000001e-18
3.569368,2.48624,0.025,3.21331,1.16884,-1.74929e-17
5.671466,3.650168,0.025,3.68283,-0.583078,-4.829119999999999e-20
1.203788,5.490389,0.025,-0.281452,0.0605088,5.0796800000000005e-18
1.868597,2.057753,0.025,1.16841,0.545718,-1.4599e-17
9.714164,2.135011,0.025,-0.42652,1.04079,-1.07764e-17
8.033504,0.1243925,0.025,1.47009,-0.0789823,-1.8135200000000003e-18
7.311801,3.428193,0.025,0.713016,0.250658,3.71347e-18
8.600746,2.774336,0.025,-1.00763,-0.108269,-1.00394e-17
4.091923,5.881759,0.025,1.50509,0.200134,7.56765e-18
3.421123,1.505859,0.025,1.27762,0.215797,3.2029500000000004e-17
7.082089,3.42329,0.025,1.42907,-0.867439,5.596580000000001e-18
5.061233,3.43377,0.025,0.457442,0.181663,7.078340000000001e-18
2.707033,2.484213,0.025,1.08769,0.0177152,6.64077e-20
4.452883,1.906637,0.025,0.354844,0.413191,1.3298700000000003e-17
9.270887,5.349229,0.025,0.412491,-0.26559,1.1139400000000001e-17
8.602859,0.8981037,0.025,0.19224,-0.138795,3.52201e-18
4.77119,0.2876616,0.025,-0.178213,-0.221281,1.67823e-17
4.187888,5.028852,0.025,-0.564278,-0.197795,2.83207e-18
1.230832,5.929604,0.025,-1.27253,0.00437679,-9.884930000000001e-18
0.3384407,1.978091,0.025,-0.00503567,-0.377198,-1.1865300000000001e-17
9.531025,3.906264,0.025,-0.397193,-0.343638,1.5636700000000002e-17
8.249253,2.537867,0.025,-0.616364,-0.419016,3.36471e-17
9.159558,5.104323,0.025,0.272938,-0.253594,2.2750600000000006e-17
8.333296,1.366748,0.025,-0.111364,-0.531545,-6.193270000000001e-18
9.812975,3.902758,0.025,-0.255,-0.401038,4.35846e-17
3.498062,3.212426,0.025,0.778866,0.301521,2.24353e-18
5.718933,5.085982,0.025,-0.117756,-0.596427,-1.64475e-17
9.170889,1.693696,0.025,-0.202529,0.277547,3.24421e-18
0.8424683,1.565343,0.025,1.45166,0.697831,-2.3313000000000002e-17
1.456537,1.79556,0.025,1.22816,0.860082,3.22463e-18
1.558481,5.929641,0.025,-1.17579,0.0266278,8.041519999999999e-20
8.26241,3.56107,0.025,-0.650474,0.0294209,2.39071e-17
3.971642,3.484683,0.025,0.436709,1.10681,-2.7481300000000004e-18
5.942943,2.228882,0.025,0.881179,1.53396,-1.71136e-18
1.859286,5.969168,0.025,-1.16787,0.0182672,-4.4477400000000003e-17
3.702926,0.1141271,0.025,-0.680511,-0.0331602,1.12447e-16
8.846207,1.476048,0.025,-0.0993345,-0.054503,-3.33069e-18
7.220806,1.057824,0.025,-1.39274,-3.3656,-7.247730000000001e-18
5.126072,3.873853,0.025,3.87846,0.18981,2.72266e-18
3.852763,1.321447,0.025,0.666779,0.0538766,8.240870000000001e-18
8.33377,1.709161,0.025,-0.186241,-0.546217,-1.1214100000000001e-17
9.635376,0.9926026,0.025,0.121484,1.00543,-7.330789999999999e-19
6.500605,0.8267664,0.025,-1.44842,-0.85006,-1.38978e-17
2.930576,0.2123861,0.025,-0.769167,-0.0379744,1.6581100000000002e-18
9.455976,4.694885,0.025,-0.0386687,-0.550479,1.12667e-17
3.611485,1.368314,0.025,0.918117,0.101053,-2.84962e-18
3.31048,1.29236,0.025,1.01734,0.0652047,-2.1793200000000002e-17
7.293905,4.107679,0.025,0.259901,0.291465,-3.3218e-17
4.701725,3.21965,0.025,-0.21986,0.150561,-8.509550000000001e-18
6.840592,2.696409,0.025,1.36746,-1.45725,8.55317e-19
1.421525,0.8784656,0.025,0.889639,1.32355,-9.249330000000001e-18
5.735205,5.922474,0.025,0.125881,-0.0150199,-7.8517e-17
7.584119,1.462204,0.025,-0.565179,-3.56176,-5.92202e-20
3.866086,3.062828,0.025,0.108079,0.838016,3.3831000000000004e-17
1.055159,1.780652,0.025,1.07116,0.809769,3.11212e-17
4.218235,2.042072,0.025,0.686425,0.871726,1.4016500000000002e-17
7.845823,1.457354,0.025,-0.231421,-1.81287,3.62806e-19
0.08260896,5.985569,0.025,0.0656797,0.0244342,-3.972450000000001e-17
6.438748,5.302225,0.025,-0.338535,-0.279401,-1.95358e-17
7.713328,2.133274,0.025,0.315293,-2.68945,-1.23315e-18
7.111817,3.217378,0.025,2.45532,-1.59821,-2.6660700000000004e-18
4.164639,5.808639,0.025,1.35135,0.0804155,1.0032300000000002e-18
8.384096,2.58585,0.025,-0.706689,-0.298347,-6.160520000000001e-18
2.631474,5.630089,0.025,1.18266,0.973025,-9.36565e-18
9.469569,1.835736,0.025,-0.251008,0.672554,9.40738e-18
7.136212,0.0772663,0.025,-1.06048,-0.503816,1.1617400000000001e-17
2.442685,2.289016,0.025,1.44176,0.196569,9.271710000000001e-18
7.75998,0.1554247,0.025,1.05318,-0.267272,-3.52987e-18
6.270934,4.002203,0.025,0.715753,-0.369398,-3.5737e-17
8.464865,3.860688,0.025,-0.526585,0.0897085,-6.1345e-18
4.507976,4.754947,0.025,-0.965823,-0.42153,-1.21413e-17
3.459108,2.073982,0.025,1.90102,0.599642,7.26949e-18
7.787496,0.4837094,0.025,0.100765,-0.75634,-3.8769300000000005e-18
3.946768,1.967884,0.025,1.18413,0.836675,-7.004789999999999e-19
3.74217,2.730204,0.025,0.694899,1.643,-4.55156e-19
2.759299,1.698811,0.025,1.74309,0.376349,1.5306200000000006e-17
7.88672,4.810024,0.025,0.117474,1.38748,1.0413900000000001e-17
2.498962,1.318496,0.025,1.47983,0.472281,-1.5131400000000006e-17
1.143483,3.947735,0.025,0.779826,-0.0617872,5.584700000000001e-17
0.8189065,1.005544,0.025,0.75392,0.120324,1.9198700000000002e-17
7.708208,2.942549,0.025,-0.0480333,0.123452,-7.50505e-17
4.131676,3.78934,0.025,-0.65567,1.16391,2.0131100000000002e-17
6.152843,1.525014,0.025,-0.0761712,1.04351,3.1035300000000003e-17
9.390395,4.042749,0.025,-0.400379,-0.329059,-9.617e-18
3.942278,5.882827,0.025,1.68739,0.635857,-3.95156e-18
0.1391875,5.244441,0.025,0.0207618,-0.824224,1.99408e-18
9.632982,1.427702,0.025,-0.0616878,1.01888,4.137110000000001e-18
0.8135847,2.07458,0.025,-0.0284155,0.270958,-7.69389e-18
2.418065,4.639275,0.025,-0.411458,0.0375278,3.39156e-17
5.775865,1.278819,0.025,-0.181613,2.38406,2.02e-18
8.215859,5.599411,0.025,0.347888,0.379459,2.4351000000000002e-17
4.034866,2.386476,0.025,1.15629,1.85256,2.0012200000000002e-17
3.630545,2.150069,0.025,1.88454,0.883161,4.26423e-18
6.391039,4.89613,0.025,-0.0659074,-0.306341,1.7574600000000002e-17
0.0142467,3.657462,0.025,0.0177608,0.165889,-1.20342e-16
5.315258,3.014148,0.025,0.297598,-0.0598324,-2.0707000000000002e-17
5.611634,1.711804,0.025,0.056795,3.16853,1.82456e-17
3.058394,2.215456,0.025,1.89127,0.251789,-1.99725e-17
6.482019,4.625785,0.025,0.103334,-0.26253,1.9178300000000002e-17
3.841729,2.328545,0.025,1.70473,1.56804,3.65127e-17
2.579674,1.073314,0.025,0.944453,0.292367,-6.417179999999999e-19
3.546175,4.783093,0.025,-1.09305,0.105981,-5.4624500000000005e-18
6.152592,1.928141,0.025,0.556147,0.965426,-1.8854200000000002e-17
0.5158832,4.685331,0.025,0.713289,-0.219163,6.6070800000000006e-18
7.926641,1.038596,0.025,-0.259089,-1.11667,-4.581539999999999e-19
9.717219,0.6313466,0.025,0.376618,1.03178,-3.50317e-18
3.253826,4.890867,0.025,-0.74779,0.235271,2.1995400000000002e-18
7.326959,0.6855366,0.025,-1.43366,-2.81031,-3.42416e-19
3.31169,0.306171,0.025,-0.593298,-0.0851328,1.26257e-17
4.50662,1.845588,0.025,0.314568,0.297588,2.09979e-17
4.269484,2.845927,0.025,0.766018,3.14134,-6.2940900000000005e-18
4.482235,4.920906,0.025,-0.691077,-0.500387,-1.39365e-18
6.454057,4.112325,0.025,0.53626,-0.330859,-7.26035e-18
3.734765,3.287948,0.025,0.773454,0.386269,9.6917e-18
6.793971,1.089111,0.025,-1.09958,-1.76712,1.4641900000000001e-18
9.437336,4.015369,0.025,-0.393265,-0.34353,-8.41191e-18
5.874164,4.223122,0.025,0.315473,-0.41603,2.4223900000000006e-17
7.557827,1.477615,0.025,-0.573924,-3.69188,1.56648e-18
1.298035,4.611654,0.025,0.994549,0.0555777,-1.0081100000000001e-17
4.064761,0.4761505,0.025,-0.25741,-0.130466,1.47247e-17
8.60311,1.522636,0.025,-0.133586,-0.251029,-8.85368e-19
0.9746579,0.06849446,0.025,-0.0455889,1.01124,-1.5519299999999998e-19
3.81507,3.700597,0.025,-1.07405,0.312053,8.179940000000001e-18
8.176827,4.353425,0.025,-0.0668741,0.279895,1.5897200000000002e-18
9.33585,0.3795763,0.025,0.870474,0.375144,-2.0147e-19
2.922521,2.29434,0.025,1.80054,0.170351,-4.53873e-18
1.175779,5.984938,0.025,-0.955642,0.00282932,2.63504e-17
9.584901,5.184287,0.025,0.186862,-0.534998,-9.587180000000001e-18
0.5307882,0.3878203,0.025,-0.179253,-0.278948,1.0804e-17
0.9832963,3.127206,0.025,-0.812909,-0.0478146,1.17214e-17
2.795842,3.746537,0.025,-1.32041,0.307842,1.18838e-17
9.279391,2.351975,0.025,-0.595873,0.417208,-6.6076800000000004e-18
8.072417,5.081261,0.025,0.110921,0.959141,-9.339990000000001e-18
3.762303,1.830233,0.025,1.33893,0.589282,-3.29187e-17
0.1480195,1.017068,0.025,1.64306,-0.0862369,-1.8536e-17
4.444524,0.9464699,0.025,0.0922455,-0.194518,-2.13016e-17
9.98418,4.341549,0.025,-0.0139419,-0.430399,2.343e-18
8.281489,5.875153,0.025,0.225455,0.107659,-3.49462e-18
0.9978054,3.327966,0.025,-0.374886,-0.0914458,1.3454300000000001e-17
8.384661,0.3904599,0.025,0.835629,-0.0582647,-1.9595900000000002e-18
2.077208,5.94145,0.025,-0.838671,0.0661813,-1.8967e-17
9.225139,1.693732,0.025,-0.201502,0.344734,3.4006500000000005e-18
7.681817,0.01571457,0.025,0.991134,-0.0407266,3.3471100000000004e-17
0.8440643,1.20141,0.025,1.3287,0.400706,-9.21771e-20
8.230957,4.537034,0.025,0.108882,0.427211,-2.6546400000000002e-18
3.577798,2.241858,0.025,2.10473,0.87942,3.3418100000000003e-18
9.770799,3.984681,0.025,-0.262522,-0.458792,2.6885900000000006e-17
5.530735,3.270518,0.025,-0.388325,0.455064,5.21742e-19
2.412593,0.5346393,0.025,-0.243399,0.150934,2.3683000000000006e-17
6.035205,2.551966,0.025,1.37331,1.07277,-8.608270000000001e-18
3.91864,3.242729,0.025,0.75751,0.765978,-9.249270000000001e-18
4.308655,0.7739714,0.025,-0.00496878,-0.181214,3.0482500000000004e-17
6.233657,4.626096,0.025,0.0993155,-0.375201,1.4809000000000002e-17
2.581052,5.445887,0.025,0.956634,1.01173,2.6519800000000004e-18
1.650456,5.059186,0.025,0.255184,0.431741,-1.7848600000000002e-17
2.292825,3.274996,0.025,0.807106,-0.1224,9.51584e-18
9.645101,4.857242,0.025,0.036623,-0.662386,-3.4748800000000004e-18
2.260441,5.353109,0.025,0.81725,1.48812,-3.89106e-18
5.763998,5.60189,0.025,-0.287178,-0.302185,-5.79308e-18
6.433682,3.085176,0.025,1.18661,-1.12336,-2.61066e-18
4.903074,1.155367,0.025,0.0354799,-0.37252,5.56608e-17
9.550995,1.193097,0.025,0.0292828,0.86098,-6.599739999999999e-19
7.092867,4.70444,0.025,0.0925838,-0.0590473,1.1841100000000001e-17
7.191294,5.301721,0.025,-0.448729,0.153029,1.5247700000000002e-17
2.630115,3.905113,0.025,-2.13857,0.593097,1.1520100000000001e-17
5.780407,5.248428,0.025,-0.216325,-0.530827,3.4408300000000005e-17
9.531715,4.069322,0.025,-0.332589,-0.412006,-5.021880000000001e-18
7.915542,4.552289,0.025,0.450551,1.5112,-6.14885e-18
7.530406,4.402694,0.025,0.417986,0.733554,2.44331e-18
3.575539,5.882376,0.025,2.16611,0.371315,-4.8749500000000004e-18
8.090479,1.039806,0.025,-0.11189,-0.788945,-4.75415e-18
