Points:0,Points:1,Points:2,U:0,U:1,U:2
5.532245,3.730178,0.025,4.03603,-0.287398,-1.73032e-19
0.7125197,1.246177,0.025,1.58557,0.352904,-2.2312500000000002e-17
5.562894,3.676888,0.025,3.81855,-0.355308,2.43317e-19
7.406472,1.289359,0.025,-0.975275,-3.75356,1.62453e-18
7.995174,5.654754,0.025,0.0853051,0.402004,1.32073e-17
4.066439,1.66162,0.025,0.78533,0.355309,6.099790000000001e-18
0.7138625,0.6145491,0.025,-0.271824,-0.170211,-7.639319999999999e-19
2.451948,5.859424,0.025,0.279292,0.456991,8.202720000000001e-18
5.517203,0.2442856,0.025,-0.114462,0.702087,4.861180000000001e-17
1.963865,3.754568,0.025,-0.663223,-0.814661,2.7738400000000003e-18
3.792001,5.198227,0.025,-0.061469,0.11653,-5.5819e-18
0.2659679,0.05883583,0.025,0.0151451,-0.0178076,-1.466e-16
5.655894,0.6015026,0.025,-0.351454,1.85022,1.5663899999999998e-19
0.01466908,1.024775,0.025,1.9952,-0.0574111,1.75372e-18
9.090651,0.4266626,0.025,0.839533,0.159535,1.36179e-19
5.938131,1.463683,0.025,-0.103689,1.88533,3.11338e-18
9.066439,5.541171,0.025,0.570482,-0.0621026,-3.60005e-18
4.911527,4.919174,0.025,-0.278342,-1.019,1.99822e-17
6.020194,2.149221,0.025,0.806354,1.31615,9.52248e-19
3.945357,2.642931,0.025,1.32481,2.6034,-2.29174e-18
1.856258,5.679672,0.025,-0.256764,0.287924,-1.3649900000000003e-17
0.389954,3.467492,0.025,-0.0357227,0.38732,3.81068e-17
2.921999,2.01162,0.025,1.81301,0.317059,2.5096700000000006e-17
0.02715027,1.403154,0.025,1.9955,-0.00415402,-1.8654100000000006e-17
2.352213,1.65201,0.025,1.679,0.565442,-2.6467700000000006e-17
7.455363,1.968944,0.025,0.375392,-3.29328,8.73663e-19
8.387023,2.082552,0.025,-0.315305,-0.417928,-2.37518e-18
6.976635,2.775132,0.025,1.3123,-1.6442,2.0641100000000001e-19
7.717352,1.570322,0.025,-0.260982,-2.81279,5.158209999999999e-19
8.278177,5.380594,0.025,0.36737,0.529439,1.1323e-17
7.500723,2.535418,0.025,1.05799,-3.03625,-1.3615900000000002e-18
3.958772,0.3952693,0.025,-0.340691,-0.113426,-1.48419e-17
9.745955,5.783737,0.025,0.308191,-0.261971,-2.3395200000000006e-17
1.258211,5.490474,0.025,-0.281522,0.0840724,-3.6923700000000005e-18
2.349046,5.973431,0.025,-0.415109,0.0527625,7.70541e-17
0.9740756,0.644699,0.025,-0.056861,0.667496,-6.06697e-18
4.100859,3.371744,0.025,0.927575,2.55037,1.29695e-18
4.430988,3.381308,0.025,1.75429,3.23717,-5.9041100000000005e-18
2.290055,4.000372,0.025,-1.51308,0.508144,9.291280000000001e-18
1.150065,5.803137,0.025,-0.899961,0.00597857,8.128670000000001e-18
0.7469815,3.917137,0.025,0.829493,0.0333463,5.1063800000000006e-18
2.631524,0.5077899,0.025,-0.356249,0.0438238,5.16603e-19
0.01369287,3.394571,0.025,-0.0230887,0.161836,-1.66444e-17
2.96912,1.516381,0.025,1.56448,0.27205,9.174230000000001e-18
0.2900793,0.01451613,0.025,0.0190931,-0.0103708,-7.00205e-16
